TeamID,TeamName,MatchesPlayed,MatchesWon,MatchesLost,TournamentsWon
T01,Chennai Super Kings,208,121,87,4
T02,Deccan Chargers,75,29,46,1
T03,Delhi Capitals,63,36,27,0
T04,Delhi Daredevils,161,67,94,0
T05,Gujarat Lions,30,13,17,0
T06,Gujarat Titans,16,12,4,1
T07,Kings XI Punjab,190,88,102,0
T08,Kochi Tuskers Kerala,7,3,4,0
T09,Kolkata Knight Riders,223,114,109,2
T10,Lucknow Super Giants,15,9,6,0
T11,Mumbai Indians,231,131,100,5
T12,Pune Warriors,23,6,17,0
T13,Punjab Kings,28,13,15,0
T14,Rajasthan Royals,192,96,96,1
T15,Rising Pune Supergiant,16,10,6,0
T16,Rising Pune Supergiants,14,5,9,0
T17,Royal Challengers Bangalore,226,109,117,0
T18,Sunrisers Hyderabad,152,75,77,1
